Time,CH B,
1.61081E+1,-4.73256E-1,
1.61581E+1,-4.09256E-1,
1.62081E+1,-4.73256E-1,
1.62581E+1,-3.85256E-1,
1.63082E+1,-4.65256E-1,
1.63582E+1,-4.01256E-1,
1.64082E+1,-4.57256E-1,
1.64582E+1,-4.01256E-1,
1.65083E+1,-4.57256E-1,
1.65583E+1,-3.93256E-1,
1.66083E+1,-4.57256E-1,
1.66583E+1,-3.85256E-1,
1.67084E+1,-4.49256E-1,
1.67584E+1,-3.85256E-1,
1.68084E+1,-4.41256E-1,
1.68584E+1,-3.77256E-1,
1.69085E+1,-4.41256E-1,
1.69585E+1,-3.77256E-1,
1.70085E+1,-4.41256E-1,
1.70585E+1,-3.77256E-1,
1.71086E+1,-4.33256E-1,
1.71586E+1,-3.69256E-1,
1.72086E+1,-4.25256E-1,
1.72586E+1,-3.37256E-1,
1.73087E+1,-4.25256E-1,
1.73587E+1,-3.61256E-1,
1.74087E+1,-4.25256E-1,
1.74587E+1,-3.37256E-1,
1.75088E+1,-4.25256E-1,
1.75588E+1,-3.61256E-1,
1.76088E+1,-4.17256E-1,
1.76588E+1,-3.53256E-1,
1.77089E+1,-4.17256E-1,
1.77589E+1,-3.37256E-1,
1.78089E+1,-4.17256E-1,
1.78589E+1,-3.45256E-1,
1.7909E+1,-4.09256E-1,
1.7959E+1,-3.45256E-1,
1.8009E+1,-4.01256E-1,
1.8059E+1,-3.45256E-1,
1.81091E+1,-4.09256E-1,
1.81591E+1,-3.05256E-1,
1.82091E+1,-4.01256E-1,
1.82591E+1,-3.13256E-1,
1.83092E+1,-3.93256E-1,
1.83592E+1,-3.29256E-1,
1.84092E+1,-4.01256E-1,
1.84592E+1,-3.29256E-1,
1.85093E+1,-3.93256E-1,
1.85593E+1,-3.29256E-1,
1.86093E+1,-3.93256E-1,
1.86593E+1,-3.29256E-1,
1.87094E+1,-4.09256E-1,
1.87594E+1,-3.29256E-1,
1.88094E+1,-4.01256E-1,
1.88594E+1,-3.21256E-1,
1.89095E+1,-3.85256E-1,
1.89595E+1,-3.21256E-1,
1.90095E+1,-3.85256E-1,
1.90595E+1,-3.21256E-1,
1.91096E+1,-3.77256E-1,
1.91596E+1,-3.13256E-1,
1.92096E+1,-3.85256E-1,
1.92596E+1,-3.13256E-1,
1.93097E+1,-3.77256E-1,
1.93597E+1,-3.05256E-1,
1.94097E+1,-3.69256E-1,
1.94597E+1,-3.05256E-1,
1.95098E+1,-3.77256E-1,
1.95598E+1,-3.05256E-1,
1.96098E+1,-3.69256E-1,
1.96598E+1,-3.05256E-1,
1.97099E+1,-3.69256E-1,
1.97599E+1,-2.97256E-1,
1.98099E+1,-3.69256E-1,
1.98599E+1,-2.97256E-1,
1.991E+1,-3.69256E-1,
1.996E+1,-2.89256E-1,
2.001E+1,-3.53256E-1,
2.006E+1,-2.89256E-1,
2.01101E+1,-3.53256E-1,
2.01601E+1,-2.89256E-1,
2.02101E+1,-3.53256E-1,
2.02601E+1,-2.81256E-1,
2.03102E+1,-3.53256E-1,
2.03602E+1,-2.81256E-1,
2.04102E+1,-3.53256E-1,
2.04602E+1,-2.73256E-1,
2.05103E+1,-3.45256E-1,
2.05603E+1,-2.73256E-1,
2.06103E+1,-3.45256E-1,
2.06603E+1,-2.73256E-1,
2.07104E+1,-3.45256E-1,
2.07604E+1,-2.73256E-1,
2.08104E+1,-3.45256E-1,
2.08604E+1,-2.81256E-1,
2.09105E+1,-3.53256E-1,
2.09605E+1,-2.81256E-1,
2.10105E+1,-3.37256E-1,
2.10605E+1,-2.73256E-1,
2.11106E+1,-3.37256E-1,
2.11606E+1,-2.73256E-1,
2.12106E+1,-3.29256E-1,
2.12606E+1,-2.73256E-1,
2.13107E+1,-3.37256E-1,
2.13607E+1,-2.09256E-1,
2.14107E+1,-3.29256E-1,
2.14607E+1,-2.73256E-1,
2.15108E+1,-3.29256E-1,
2.15608E+1,-2.73256E-1,
2.16108E+1,-3.37256E-1,
2.16608E+1,-2.73256E-1,
2.17109E+1,-3.37256E-1,
2.17609E+1,-2.65256E-1,
2.18109E+1,-3.37256E-1,
2.18609E+1,-2.65256E-1,
2.1911E+1,-3.29256E-1,
2.1961E+1,-2.65256E-1,
2.2011E+1,-3.29256E-1,
2.2061E+1,-2.65256E-1,
2.21111E+1,-3.37256E-1,
2.21611E+1,-2.65256E-1,
2.22111E+1,-3.29256E-1,
2.22611E+1,-2.65256E-1,
2.23112E+1,-3.29256E-1,
2.23612E+1,-2.65256E-1,
2.24112E+1,-3.29256E-1,
2.24612E+1,-2.65256E-1,
2.25113E+1,-3.29256E-1,
2.25613E+1,-2.65256E-1,
2.26113E+1,-3.29256E-1,
2.26613E+1,-2.65256E-1,
2.27114E+1,-3.29256E-1,
2.27614E+1,-2.65256E-1,
2.28114E+1,-3.29256E-1,
2.28614E+1,-2.65256E-1,
2.29115E+1,-3.29256E-1,
2.29615E+1,-2.65256E-1,
2.30115E+1,-3.37256E-1,
2.30615E+1,-2.17256E-1,
2.31116E+1,-3.37256E-1,
2.31616E+1,-2.65256E-1,
2.32116E+1,-3.29256E-1,
2.32616E+1,-2.17256E-1,
2.33117E+1,-3.37256E-1,
2.33617E+1,-2.65256E-1,
2.34117E+1,-3.45256E-1,
2.34617E+1,-1.61256E-1,
2.35118E+1,-3.37256E-1,
2.35618E+1,-2.65256E-1,
2.36118E+1,-3.37256E-1,
2.36618E+1,-2.65256E-1,
2.37119E+1,-3.29256E-1,
2.37619E+1,-2.65256E-1,
2.38119E+1,-3.29256E-1,
2.38619E+1,-2.65256E-1,
2.3912E+1,-3.37256E-1,
2.3962E+1,-2.57256E-1,
2.4012E+1,-3.37256E-1,
2.4062E+1,-2.57256E-1,
2.41121E+1,-3.37256E-1,
