[s],CH2[V]
-2.2150E-03,-5.222E-02
-2.2125E-03,-9.222E-02
-2.2100E-03,-5.222E-02
-2.2075E-03,-9.222E-02
-2.2050E-03,-9.222E-02
-2.2025E-03,-9.222E-02
-2.2000E-03,-1.322E-01
-2.1975E-03,-9.222E-02
-2.1950E-03,-9.222E-02
-2.1925E-03,-5.222E-02
-2.1900E-03,-9.222E-02
-2.1875E-03,-1.322E-01
-2.1850E-03,-9.222E-02
-2.1825E-03,-9.222E-02
-2.1800E-03,-9.222E-02
-2.1775E-03,-5.222E-02
-2.1750E-03,-5.222E-02
-2.1725E-03,-9.222E-02
-2.1700E-03,-9.222E-02
-2.1675E-03,-9.222E-02
-2.1650E-03,-9.222E-02
-2.1625E-03,-9.222E-02
-2.1600E-03,-9.222E-02
-2.1575E-03,-9.222E-02
-2.1550E-03,-9.222E-02
-2.1525E-03,-5.222E-02
-2.1500E-03,-9.222E-02
-2.1475E-03,-1.322E-01
-2.1450E-03,-5.222E-02
-2.1425E-03,-5.222E-02
-2.1400E-03,-5.222E-02
-2.1375E-03,-9.222E-02
-2.1350E-03,-5.222E-02
-2.1325E-03,-5.222E-02
-2.1300E-03,-5.222E-02
-2.1275E-03,-9.222E-02
-2.1250E-03,-9.222E-02
-2.1225E-03,-9.222E-02
-2.1200E-03,-9.222E-02
-2.1175E-03,-9.222E-02
-2.1150E-03,-9.222E-02
-2.1125E-03,-9.222E-02
-2.1100E-03,-9.222E-02
-2.1075E-03,-9.222E-02
-2.1050E-03,-9.222E-02
-2.1025E-03,-9.222E-02
-2.1000E-03,-1.322E-01
-2.0975E-03,-5.222E-02
-2.0950E-03,-9.222E-02
-2.0925E-03,-5.222E-02
-2.0900E-03,-9.222E-02
-2.0875E-03,-5.222E-02
-2.0850E-03,-5.222E-02
-2.0825E-03,-9.222E-02
-2.0800E-03,-9.222E-02
-2.0775E-03,-9.222E-02
-2.0750E-03,-5.222E-02
-2.0725E-03,-9.222E-02
-2.0700E-03,-9.222E-02
-2.0675E-03,-9.222E-02
-2.0650E-03,-9.222E-02
-2.0625E-03,-9.222E-02
-2.0600E-03,-9.222E-02
-2.0575E-03,-9.222E-02
-2.0550E-03,-9.222E-02
-2.0525E-03,-9.222E-02
-2.0500E-03,-9.222E-02
-2.0475E-03,-9.222E-02
-2.0450E-03,-9.222E-02
-2.0425E-03,-5.222E-02
-2.0400E-03,-5.222E-02
-2.0375E-03,-9.222E-02
-2.0350E-03,-9.222E-02
-2.0325E-03,-9.222E-02
-2.0300E-03,-5.222E-02
-2.0275E-03,-9.222E-02
-2.0250E-03,-9.222E-02
-2.0225E-03,-5.222E-02
-2.0200E-03,-9.222E-02
-2.0175E-03,-1.322E-01
-2.0150E-03,-1.322E-01
-2.0125E-03,-9.222E-02
-2.0100E-03,-9.222E-02
-2.0075E-03,-5.222E-02
-2.0050E-03,-9.222E-02
-2.0025E-03,-9.222E-02
-2.0000E-03,-9.222E-02
-1.9975E-03,-9.222E-02
-1.9950E-03,-9.222E-02
-1.9925E-03,-5.222E-02
-1.9900E-03,-9.222E-02
