x in Angstrom	y in Volt
505,76	20966,28
505,93	21226,24
506,10	21695,36
506,28	21732,11
506,45	21877,77
506,63	22304,29
506,80	22764,75
506,98	23177,86
507,15	23275,07
507,33	23440,62
507,50	23868,24
507,68	24223,30
507,85	24377,85
508,02	24607,46
508,20	25104,98
508,37	26141,29
508,55	26149,17
508,72	26309,96
508,90	26358,49
509,07	26958,76
509,24	27537,81
509,42	27744,71
509,59	27682,06
509,77	27326,61
509,94	27905,90
510,12	28403,73
510,29	29170,41
510,46	29264,19
510,64	28925,74
510,81	28825,80
510,98	29400,09
511,16	29995,76
511,33	30288,87
511,51	30471,20
511,68	30461,29
511,85	30581,28
512,03	31353,43
512,20	32217,08
512,38	32757,20
512,55	33046,73
512,72	32511,45
512,90	32634,25
513,07	33305,51
513,24	34035,76
513,42	34625,89
513,59	34779,27
513,76	34552,94
513,94	34539,83
514,11	35373,84
514,28	36553,00
514,46	36931,94
514,63	37092,19
514,80	37100,85
514,98	36752,03
515,15	36183,82
515,32	36392,21
515,50	36818,66
515,67	37656,57
515,84	38121,24
516,02	38206,75
516,19	37567,94
516,36	37101,24
516,54	37206,25
516,71	38026,22
516,88	39476,10
517,05	40157,82
517,23	40230,77
517,40	39861,43
517,57	38468,58
517,75	38004,76
517,92	38590,67
518,09	39330,13
518,26	40473,25
518,44	41090,60
518,61	40956,64
518,78	40340,15
518,96	39698,22
519,13	39878,83
519,30	40788,28
519,47	41713,18
519,65	42586,75
519,82	42989,95
519,99	43146,45
520,16	42987,76
520,34	41503,55
520,51	41106,91
520,68	41139,83
520,85	42109,12
521,03	43306,00
521,20	43952,61
521,37	44535,48
521,54	44449,58
521,71	43637,96
521,89	42536,58
522,06	42272,18
522,23	42659,15
522,40	44128,69
522,57	44938,83
522,75	45633,35
522,92	46525,17
523,09	46678,01
523,26	45278,21
523,43	43908,68
523,61	43230,71
523,78	44300,41
523,95	45659,64
524,12	46301,02
524,29	47348,88
524,47	47695,12
524,64	47690,13
524,81	47404,27
524,98	45818,48
525,15	45121,63
525,32	44904,66
525,50	45986,22
525,67	47246,21
525,84	47523,17
526,01	48726,52
526,18	49225,76
526,35	49404,57
526,52	48789,64
526,70	46781,38
526,87	46284,41
527,04	45531,46
527,21	46942,17
527,38	48469,84
527,55	49558,43
527,72	49823,06
527,90	50833,86
528,07	50484,58
528,24	49468,08
528,41	48768,73
528,58	47263,45
528,75	47776,19
528,92	48790,96
529,09	50002,11
529,26	50428,48
529,43	51249,38
529,61	51902,16
529,78	52143,31
529,95	52613,45
530,12	52223,59
530,29	51500,84
530,46	50926,39
530,63	50788,61
530,80	50845,88
530,97	51322,33
531,14	52134,03
531,31	52505,16
531,48	52804,44
531,65	53714,20
531,83	53762,65
532,00	53508,39
532,17	51799,49
532,34	50678,06
532,51	50483,09
532,68	50856,25
532,85	51837,64
533,02	53200,06
533,19	53541,78
533,36	54489,39
533,53	54504,37
533,70	54588,31
533,87	54204,15
534,04	52676,88
534,21	51306,10
534,38	51276,69
534,55	51647,51
534,72	52608,46
534,89	53538,43
535,06	54238,72
535,23	54513,26
535,40	54610,24
535,57	54748,10
535,74	54964,91
535,91	54934,95
536,08	53781,14
536,25	52789,92
536,42	51819,62
536,59	51841,62
536,76	52819,42
536,93	53273,32
537,10	53979,39
537,27	53713,19
537,44	53858,22
537,61	54733,04
537,78	55599,74
537,95	55852,91
538,12	55547,39
538,29	54244,72
538,45	52962,81
538,62	51422,66
538,79	51570,97
538,96	51472,98
539,13	52568,51
539,30	53167,69
539,47	54052,33
539,64	55119,77
539,81	55834,42
539,98	56440,46
540,15	56441,63
540,32	55535,14
540,49	53699,46
540,66	51818,29
540,82	50570,71
540,99	50814,12
541,16	52010,92
541,33	52946,04
541,50	54157,66
541,67	55036,61
541,84	55967,05
542,01	56753,70
542,18	57156,82
542,34	56771,49
542,51	55998,96
542,68	53796,12
542,85	52289,36
543,02	51101,07
543,19	51233,23
543,36	52604,40
543,53	53770,53
543,69	54951,33
543,86	55988,58
544,03	56661,09
544,20	56984,95
544,37	57256,60
544,54	56663,28
544,70	55645,07
544,87	54448,66
545,04	53537,10
545,21	52564,61
545,38	52082,30
545,55	51992,66
545,71	53536,17
545,88	54605,01
546,05	55770,44
546,22	56662,89
546,39	57128,11
546,56	57553,15
546,72	56965,99
546,89	56301,04
547,06	55522,27
547,23	55313,02
547,40	55223,30
547,56	54831,81
547,73	54046,79
547,90	53554,34
548,07	54000,14
548,23	55222,13
548,40	56570,75
548,57	57371,06
548,74	57524,36
548,91	57877,70
549,07	57378,86
549,24	56726,86
549,41	56087,35
549,58	55804,38
549,74	56241,75
549,91	56368,60
550,08	55835,12
550,25	54943,76
550,41	54229,51
550,58	54892,27
550,75	55720,82
550,92	57025,05
551,08	57395,63
551,25	57896,27
551,42	57734,07
551,58	57384,24
551,75	57049,39
551,92	56768,76
552,09	57247,71
552,25	57909,61
552,42	58665,53
552,59	58723,57
552,75	58575,42
552,92	58288,23
553,09	58075,48
553,26	58030,31
553,42	58569,25
553,59	59120,06
553,76	59045,32
553,92	58976,12
554,09	58696,58
554,26	58009,79
554,42	57575,85
554,59	57647,24
554,76	58436,62
554,92	59084,17
555,09	59513,50
555,26	59443,29
555,42	58914,40
555,59	58095,61
555,76	57217,75
555,92	57273,69
556,09	57879,89
556,26	58406,82
556,42	59127,78
556,59	59110,54
556,75	58624,88
556,92	58063,31
557,09	57717,30
557,25	58164,65
557,42	58869,00
557,59	59406,78
557,75	59817,93
557,92	60116,27
558,08	59719,94
558,25	59228,43
558,42	58304,93
558,58	57983,96
558,75	58135,86
558,91	58714,68
559,08	59338,82
559,25	59530,12
559,41	59484,79
559,58	59328,13
559,74	59303,25
559,91	59361,13
560,08	60046,99
560,24	60386,99
560,41	61045,46
560,57	61430,40
560,74	61831,96
560,90	61653,69
561,07	61062,70
561,24	60481,39
561,40	59651,99
561,57	59395,23
561,73	59882,37
561,90	60173,85
562,06	59726,02
562,23	59270,32
562,39	58383,73
562,56	57937,54
562,72	58053,32
562,89	58653,36
563,05	59488,54
563,22	59800,45
563,38	60709,75
563,55	60712,25
563,72	61196,50
563,88	61183,79
564,05	60776,77
564,21	60173,46
564,38	59603,77
564,54	59187,55
564,71	59216,65
564,87	58809,39
565,04	58073,92
565,20	57284,77
565,36	56963,88
565,53	57418,26
565,69	58315,46
565,86	58799,64
566,02	59597,53
566,19	59956,18
566,35	60465,01
566,52	60982,66
566,68	61180,36
566,85	61333,66
567,01	61373,61
567,18	60638,29
567,34	60118,77
567,51	59388,91
567,67	58834,51
567,83	58632,53
568,00	57793,29
568,16	57302,87
568,33	57166,88
568,49	57590,60
568,66	58307,43
568,82	58906,21
568,98	59206,74
569,15	59728,44
569,31	59873,79
569,48	60049,80
569,64	60694,15
569,80	60873,75
569,97	61163,97
570,13	61024,87
570,30	60674,25
570,46	59958,44
570,62	58958,72
570,79	58681,44
570,95	57998,71
571,12	57255,90
571,28	56665,77
571,44	56956,55
571,61	57324,48
571,77	57834,95
571,93	58571,44
572,10	58702,20
572,26	58812,28
572,43	59288,89
572,59	59830,57
572,75	60501,99
572,92	60819,76
573,08	60986,01
573,24	61167,95
573,41	61188,70
573,57	60666,61
573,73	60217,61
573,90	59557,04
574,06	58611,07
574,22	57771,76
574,39	57262,30
574,55	57023,17
574,71	57319,02
574,88	57156,82
575,04	57560,25
575,20	57923,34
575,37	57997,07
575,53	58731,06
575,69	59198,94
575,85	60023,97
576,02	60247,34
576,18	60705,62
576,34	61040,78
576,51	61537,21
576,67	61545,09
576,83	61494,07
576,99	61135,42
577,16	60414,22
577,32	59295,13
577,48	58258,51
577,64	57555,96
577,81	56952,49
577,97	56839,99
578,13	56878,92
578,30	57308,17
578,46	57524,13
578,62	58020,87
578,78	58622,54
578,94	59275,94
579,11	59921,54
579,27	60419,06
579,43	60818,82
579,59	61464,42
579,76	62028,33
579,92	61923,01
580,08	62232,04
580,24	62372,16
580,41	61838,98
580,57	60969,55
580,73	60102,46
580,89	59215,01
581,05	58018,92
581,22	57371,84
581,38	56918,63
581,54	56580,42
581,70	56841,47
581,86	57686,56
582,03	58415,64
582,19	59174,59
582,35	59892,36
582,51	60816,17
582,67	61467,77
582,83	61788,58
583,00	61903,42
583,16	62452,12
583,32	62443,39
583,48	62762,87
583,64	62536,70
583,80	62597,47
583,97	62522,18
584,13	61686,38
584,29	60954,26
584,45	59788,98
584,61	58713,04
584,77	58182,36
584,93	57915,00
585,09	58093,73
585,26	58626,83
585,42	59514,91
585,58	59792,65
585,74	60273,01
585,90	60604,58
586,06	60971,11
586,22	61599,39
586,38	61659,85
586,55	61861,37
586,71	62401,65
586,87	62584,44
587,03	62898,00
587,19	63268,66
587,35	63143,44
587,51	62727,84
587,67	62037,77
587,83	60944,04
587,99	59317,21
588,15	57920,15
588,31	57395,94
588,48	57255,28
588,64	57689,13
588,80	58572,69
588,96	59440,87
589,12	59857,87
589,28	60209,27
589,44	60631,73
589,60	60960,74
589,76	61166,47
589,92	61644,33
590,08	61955,70
590,24	62275,49
590,40	62582,02
590,56	63024,78
590,72	63148,59
590,88	63399,65
591,04	63495,38
591,20	63006,60
591,36	62325,27
591,52	60915,17
591,68	59869,11
591,84	58812,51
592,00	58508,95
592,16	58620,75
592,32	59328,06
592,48	59629,98
592,64	60339,87
592,80	60612,85
592,96	61132,76
593,12	61573,18
593,28	61854,74
593,44	62197,40
593,60	62616,82
593,76	62882,70
593,92	63034,06
594,08	63394,35
594,24	63228,40
594,40	63660,07
594,56	63496,71
594,72	63647,51
594,88	63470,26
595,04	62574,69
595,20	61206,41
595,36	59700,12
595,52	58387,32
595,67	57534,66
595,83	57565,40
595,99	57801,79
596,15	58625,97
596,31	59208,84
596,47	59848,43
596,63	60265,21
596,79	60676,52
596,95	61010,12
597,11	61402,08
597,27	61673,43
597,43	62058,91
597,58	62383,70
597,74	62466,17
597,90	62878,96
598,06	63183,85
598,22	63335,29
598,38	63600,39
598,54	63572,54
598,70	63186,82
598,86	62396,11
599,01	61122,62
599,17	59645,67
599,33	58371,56
599,49	57815,99
599,65	57709,81
599,81	58445,60
599,97	58667,48
600,12	59413,56
600,28	59878,47
600,44	60378,49
600,60	60837,54
600,76	61044,76
600,92	61612,73
601,07	61794,67
601,23	62131,00
601,39	62278,30
601,55	62514,69
601,71	62849,47
601,87	63072,37
602,02	63257,27
602,18	63437,80
602,34	63423,21
602,50	63293,00
602,66	62425,05
602,81	61692,85
602,97	60168,15
603,13	59060,14
603,29	58095,37
603,45	58170,19
603,60	58226,05
603,76	58914,40
603,92	59305,20
604,08	59884,79
604,23	60170,73
604,39	60663,33
604,55	60833,41
604,71	61208,75
604,86	61387,88
605,02	62027,40
605,18	62140,29
605,34	62318,64
605,49	62456,10
605,65	62782,76
605,81	62862,42
605,97	63173,48
606,12	63121,36
606,28	63120,82
606,44	62764,20
606,60	62144,03
606,75	60977,90
606,91	59714,71
607,07	58840,21
607,22	58240,72
607,38	58087,81
607,54	58313,75
607,70	58485,23
607,85	59047,27
608,01	59646,68
608,17	60034,51
608,32	60233,53
608,48	60503,24
608,64	60898,79
608,79	60942,48
608,95	61364,48
609,11	61591,82
609,26	61790,85
