x in Angstrom	y in Volt
6511,60000	2,85697
6511,80000	2,99523
6512,00000	2,69833
6512,20000	2,74601
6512,40000	2,94981
6512,60000	2,39056
6512,80000	2,38328
6513,00000	2,80556
6513,20000	2,56850
6513,40000	3,22635
6513,60000	2,89525
6513,80000	2,75404
6514,00000	2,59271
6514,20000	2,78887
6514,40000	2,72654
6514,60000	2,82297
6514,80000	2,67239
6515,00000	2,31183
6515,20000	2,29259
6515,40000	2,47293
6515,60000	2,16742
6515,80000	1,96207
6516,00000	2,52325
6516,20000	2,30331
6516,40000	1,91870
6516,60000	1,98038
6516,80000	1,81201
6517,00000	2,06008
6517,20000	2,06987
6517,40000	2,43093
6517,60000	1,84416
6517,80000	2,03182
6518,00000	1,83691
6518,20000	1,76146
6518,40000	1,99180
6518,60000	1,69664
6518,80000	1,96277
6519,00000	1,96757
6519,20000	1,79422
6519,40000	1,69167
6519,60000	1,83501
6519,80000	2,14274
6520,00000	1,72233
6520,20000	1,92452
6520,40000	1,80289
6520,60000	1,40204
6520,80000	1,90567
6521,00000	1,76107
6521,20000	1,72056
6521,40000	2,03580
6521,60000	2,08156
6521,80000	2,01162
6522,00000	1,72420
6522,20000	2,08701
6522,40000	2,00986
6522,60000	2,11442
6522,80000	2,08594
6523,00000	2,39104
6523,20000	1,83935
6523,40000	1,88071
6523,60000	2,04213
6523,80000	1,96771
6524,00000	1,97384
6524,20000	1,82311
6524,40000	1,41057
6524,60000	1,98383
6524,80000	1,98902
6525,00000	2,02052
6525,20000	1,87430
6525,40000	1,74363
6525,60000	2,05744
6525,80000	1,75361
6526,00000	1,68205
6526,20000	1,90481
6526,40000	2,28193
6526,60000	1,94337
6526,80000	2,03454
6527,00000	2,11795
6527,20000	1,83916
6527,40000	2,03320
6527,60000	2,27663
6527,80000	1,92928
6528,00000	1,95298
6528,20000	1,98024
6528,40000	2,03095
6528,60000	2,16416
6528,80000	1,69856
6529,00000	1,85188
6529,20000	2,02258
6529,40000	2,05106
6529,60000	2,36683
6529,80000	2,37587
6530,00000	2,02224
6530,20000	2,07639
6530,40000	2,44536
6530,60000	2,06520
6530,80000	2,22759
6531,00000	2,30408
6531,20000	2,65288
6531,40000	1,95065
6531,60000	2,21382
6531,80000	2,58441
6532,00000	2,23812
6532,20000	2,12633
6532,40000	2,09203
6532,60000	2,34579
6532,80000	2,41151
6533,00000	2,28250
6533,20000	2,16660
6533,40000	2,35810
6533,60000	2,63140
6533,80000	2,32496
6534,00000	2,54741
6534,20000	2,74315
6534,40000	2,37669
6534,60000	2,18043
6534,80000	2,44851
6535,00000	2,03552
6535,20000	2,26820
6535,40000	2,10500
6535,60000	2,37793
6535,80000	2,46372
6536,00000	2,18306
6536,20000	2,06769
6536,40000	2,01229
6536,60000	2,12317
6536,80000	2,23730
6537,00000	2,09470
6537,20000	2,24390
6537,40000	2,12901
6537,60000	2,41938
6537,80000	2,15670
6538,00000	2,54598
6538,20000	1,96437
6538,40000	2,12915
6538,60000	2,00785
6538,80000	1,97661
6539,00000	2,62193
6539,20000	1,82419
6539,40000	2,11045
6539,60000	2,14718
6539,80000	1,83455
6540,00000	2,03257
6540,20000	2,09055
6540,40000	1,98623
6540,60000	2,10032
6540,80000	1,91112
6541,00000	1,77935
6541,20000	2,09994
6541,40000	2,00467
6541,60000	2,09619
6541,80000	2,34842
6542,00000	2,15269
6542,20000	2,04860
6542,40000	1,90300
6542,60000	2,31914
6542,80000	2,57869
6543,00000	1,94968
6543,20000	1,79915
6543,40000	2,10246
6543,60000	1,78830
6543,80000	2,10414
6544,00000	1,95542
6544,20000	2,23827
6544,40000	2,01282
6544,60000	1,71635
6544,80000	1,88324
6545,00000	2,10906
6545,20000	2,26945
6545,40000	2,05474
6545,60000	2,01105
6545,80000	2,09600
6546,00000	2,02636
6546,20000	2,05817
6546,40000	1,86282
6546,60000	2,29944
6546,80000	1,72888
6547,00000	2,29293
6547,20000	2,39930
6547,40000	2,28343
6547,60000	2,09404
6547,80000	2,18483
6548,00000	2,54104
6548,20000	2,10045
6548,40000	2,19889
6548,60000	2,33397
6548,80000	2,03398
6549,00000	2,50106
6549,20000	2,27164
6549,40000	2,46571
6549,60000	2,60815
6549,80000	2,49431
6550,00000	2,39051
6550,20000	2,38865
6550,40000	2,22592
6550,60000	2,16699
6550,80000	2,47826
6551,00000	2,35354
6551,20000	2,36219
6551,40000	2,58790
6551,60000	2,51904
6551,80000	2,28253
6552,00000	2,26130
6552,20000	2,23778
6552,40000	2,50756
6552,60000	2,17620
6552,80000	2,54107
6553,00000	2,46432
6553,20000	2,54257
6553,40000	2,60676
6553,60000	2,33039
6553,80000	2,19913
6554,00000	2,01416
6554,20000	1,93386
6554,40000	1,87458
6554,60000	1,96675
6554,80000	2,18933
6555,00000	2,18772
6555,20000	2,04248
6555,40000	2,04056
6555,60000	2,04492
6555,80000	2,23413
6556,00000	2,10375
6556,20000	1,88940
6556,40000	1,74940
6556,60000	1,71492
6556,80000	1,95832
6557,00000	1,91012
6557,20000	2,28666
6557,40000	1,79174
6557,60000	2,06373
