Time,CH A,CH B,
2.07104E-3,-9.2362E-1,2.87E-3,
2.08104E-3,-1.16362E+0,-1.1713E-1,
2.09105E-3,-9.2362E-1,2.87E-3,
2.10105E-3,-1.16362E+0,-1.5713E-1,
2.11106E-3,-9.2362E-1,2.87E-3,
2.12106E-3,-1.16362E+0,-1.1713E-1,
2.13107E-3,-9.2362E-1,2.87E-3,
2.14107E-3,-1.16362E+0,-1.1713E-1,
2.15108E-3,-9.2362E-1,2.87E-3,
2.16108E-3,-1.16362E+0,-1.1713E-1,
2.17109E-3,-9.2362E-1,2.87E-3,
2.18109E-3,-1.16362E+0,-1.1713E-1,
2.1911E-3,-9.2362E-1,2.87E-3,
2.2011E-3,-1.16362E+0,-1.1713E-1,
2.21111E-3,-9.2362E-1,2.87E-3,
2.22111E-3,-1.16362E+0,-1.1713E-1,
2.23112E-3,-9.2362E-1,2.87E-3,
2.24112E-3,-1.16362E+0,-1.1713E-1,
2.25113E-3,-9.2362E-1,2.87E-3,
2.26113E-3,-1.16362E+0,-1.1713E-1,
2.27114E-3,-9.2362E-1,2.87E-3,
2.28114E-3,-1.16362E+0,-1.5713E-1,
2.29115E-3,-9.2362E-1,-3.713E-2,
2.30115E-3,-1.08362E+0,-1.5713E-1,
2.31116E-3,-9.2362E-1,-3.713E-2,
2.32116E-3,-1.16362E+0,-1.9713E-1,
2.33117E-3,-8.4362E-1,-7.713E-2,
2.34117E-3,-1.08362E+0,-2.3713E-1,
2.35118E-3,-8.4362E-1,-7.713E-2,
2.36118E-3,-1.08362E+0,-2.3713E-1,
2.37119E-3,-8.4362E-1,-1.1713E-1,
2.38119E-3,-1.08362E+0,-2.7713E-1,
2.3912E-3,-8.4362E-1,-1.1713E-1,
2.4012E-3,-1.08362E+0,-2.7713E-1,
2.41121E-3,-8.4362E-1,-1.5713E-1,
2.42121E-3,-1.08362E+0,-3.1713E-1,
2.43122E-3,-8.4362E-1,-1.9713E-1,
2.44122E-3,-1.00362E+0,-3.5713E-1,
2.45123E-3,-8.4362E-1,-1.9713E-1,
2.46123E-3,-1.08362E+0,-3.5713E-1,
2.47124E-3,-8.4362E-1,-2.3713E-1,
2.48124E-3,-1.08362E+0,-3.9713E-1,
2.49125E-3,-8.4362E-1,-2.3713E-1,
2.50125E-3,-1.08362E+0,-4.3713E-1,
2.51126E-3,-7.6362E-1,-2.7713E-1,
2.52126E-3,-1.00362E+0,-4.3713E-1,
2.53127E-3,-7.6362E-1,-3.1713E-1,
2.54127E-3,-1.08362E+0,-4.7713E-1,
2.55128E-3,-7.6362E-1,-3.1713E-1,
2.56128E-3,-1.00362E+0,-4.7713E-1,
2.57129E-3,-7.6362E-1,-3.5713E-1,
2.58129E-3,-1.00362E+0,-5.1713E-1,
2.5913E-3,-7.6362E-1,-3.9713E-1,
2.6013E-3,-1.00362E+0,-5.5713E-1,
2.61131E-3,-7.6362E-1,-3.9713E-1,
2.62131E-3,-1.00362E+0,-5.5713E-1,
2.63132E-3,-7.6362E-1,-4.3713E-1,
2.64132E-3,-1.00362E+0,-5.9713E-1,
2.65133E-3,-7.6362E-1,-4.7713E-1,
2.66133E-3,-1.00362E+0,-5.9713E-1,
2.67134E-3,-7.6362E-1,-4.7713E-1,
2.68134E-3,-9.2362E-1,-6.3713E-1,
2.69135E-3,-7.6362E-1,-5.1713E-1,
2.70135E-3,-9.2362E-1,-6.3713E-1,
2.71136E-3,-7.6362E-1,-5.1713E-1,
2.72136E-3,-9.2362E-1,-6.7713E-1,
2.73137E-3,-7.6362E-1,-5.5713E-1,
2.74137E-3,-9.2362E-1,-6.7713E-1,
2.75138E-3,-6.8362E-1,-5.5713E-1,
2.76138E-3,-9.2362E-1,-7.1713E-1,
2.77139E-3,-6.8362E-1,-5.9713E-1,
2.78139E-3,-9.2362E-1,-7.5713E-1,
2.7914E-3,-6.8362E-1,-5.9713E-1,
2.8014E-3,-9.2362E-1,-7.9713E-1,
2.81141E-3,-6.8362E-1,-6.3713E-1,
2.82141E-3,-9.2362E-1,-8.3713E-1,
2.83142E-3,-6.8362E-1,-6.7713E-1,
2.84142E-3,-9.2362E-1,-8.3713E-1,
2.85143E-3,-6.8362E-1,-7.1713E-1,
2.86143E-3,-9.2362E-1,-8.7713E-1,
2.87144E-3,-6.8362E-1,-7.5713E-1,
2.88144E-3,-8.4362E-1,-9.1713E-1,
2.89145E-3,-6.8362E-1,-7.5713E-1,
2.90145E-3,-8.4362E-1,-9.1713E-1,
2.91146E-3,-6.8362E-1,-7.9713E-1,
2.92146E-3,-9.2362E-1,-9.5713E-1,
2.93147E-3,-6.8362E-1,-8.3713E-1,
2.94147E-3,-8.4362E-1,-9.9713E-1,
2.95148E-3,-6.0362E-1,-8.7713E-1,
2.96148E-3,-8.4362E-1,-9.9713E-1,
2.97149E-3,-6.0362E-1,-8.7713E-1,
2.98149E-3,-8.4362E-1,-1.03713E+0,
2.9915E-3,-6.0362E-1,-9.1713E-1,
3.0015E-3,-8.4362E-1,-1.07713E+0,
3.01151E-3,-6.0362E-1,-9.1713E-1,
3.02151E-3,-8.4362E-1,-1.07713E+0,
3.03152E-3,-6.0362E-1,-9.5713E-1,
3.04152E-3,-8.4362E-1,-1.11713E+0,
3.05153E-3,-5.2362E-1,-9.9713E-1,
3.06153E-3,-8.4362E-1,-1.11713E+0,
3.07154E-3,-6.0362E-1,-9.9713E-1,
3.08154E-3,-8.4362E-1,-1.15713E+0,
3.09155E-3,-5.2362E-1,-1.03713E+0,
3.10155E-3,-8.4362E-1,-1.19713E+0,
3.11156E-3,-6.0362E-1,-1.07713E+0,
3.12156E-3,-7.6362E-1,-1.19713E+0,
3.13157E-3,-6.0362E-1,-1.07713E+0,
3.14157E-3,-7.6362E-1,-1.23713E+0,
3.15158E-3,-5.2362E-1,-1.11713E+0,
3.16158E-3,-7.6362E-1,-1.23713E+0,
3.17159E-3,-5.2362E-1,-1.11713E+0,
3.18159E-3,-7.6362E-1,-1.27713E+0,
3.1916E-3,-5.2362E-1,-1.15713E+0,
3.2016E-3,-7.6362E-1,-1.27713E+0,
3.21161E-3,-5.2362E-1,-1.15713E+0,
3.22161E-3,-7.6362E-1,-1.31713E+0,
3.23162E-3,-5.2362E-1,-1.19713E+0,
3.24162E-3,-7.6362E-1,-1.31713E+0,
3.25163E-3,-5.2362E-1,-1.19713E+0,
3.26163E-3,-7.6362E-1,-1.35713E+0,
3.27164E-3,-5.2362E-1,-1.23713E+0,
3.28164E-3,-7.6362E-1,-1.39713E+0,
3.29165E-3,-5.2362E-1,-1.23713E+0,
3.30165E-3,-7.6362E-1,-1.39713E+0,
3.31166E-3,-5.2362E-1,-1.27713E+0,
3.32166E-3,-6.8362E-1,-1.43713E+0,
3.33167E-3,-5.2362E-1,-1.31713E+0,
3.34167E-3,-6.8362E-1,-1.43713E+0,
3.35168E-3,-4.4362E-1,-1.31713E+0,
3.36168E-3,-6.8362E-1,-1.43713E+0,
3.37169E-3,-5.2362E-1,-1.35713E+0,
3.38169E-3,-6.8362E-1,-1.47713E+0,
3.3917E-3,-4.4362E-1,-1.35713E+0,
3.4017E-3,-6.8362E-1,-1.51713E+0,
3.41171E-3,-4.4362E-1,-1.39713E+0,
3.42171E-3,-6.8362E-1,-1.51713E+0,
3.43172E-3,-4.4362E-1,-1.39713E+0,
3.44172E-3,-6.8362E-1,-1.55713E+0,
3.45173E-3,-4.4362E-1,-1.39713E+0,
3.46173E-3,-6.8362E-1,-1.55713E+0,
3.47174E-3,-4.4362E-1,-1.43713E+0,
3.48174E-3,-6.0362E-1,-1.59713E+0,
3.49175E-3,-4.4362E-1,-1.47713E+0,
3.50175E-3,-6.0362E-1,-1.59713E+0,
3.51176E-3,-4.4362E-1,-1.47713E+0,
3.52176E-3,-6.0362E-1,-1.63713E+0,
3.53177E-3,-4.4362E-1,-1.51713E+0,
3.54177E-3,-6.8362E-1,-1.63713E+0,
3.55178E-3,-4.4362E-1,-1.51713E+0,
3.56178E-3,-6.0362E-1,-1.67713E+0,
3.57179E-3,-4.4362E-1,-1.55713E+0,
3.58179E-3,-6.0362E-1,-1.67713E+0,
3.5918E-3,-3.6362E-1,-1.55713E+0,
3.6018E-3,-6.0362E-1,-1.71713E+0,
3.61181E-3,-3.6362E-1,-1.59713E+0,
3.62181E-3,-6.0362E-1,-1.71713E+0,
3.63182E-3,-3.6362E-1,-1.63713E+0,
3.64182E-3,-6.0362E-1,-1.75713E+0,
3.65183E-3,-3.6362E-1,-1.63713E+0,
3.66183E-3,-6.0362E-1,-1.75713E+0,
3.67184E-3,-3.6362E-1,-1.63713E+0,
3.68184E-3,-6.0362E-1,-1.79713E+0,
3.69185E-3,-3.6362E-1,-1.67713E+0,
3.70185E-3,-6.0362E-1,-1.79713E+0,
3.71186E-3,-3.6362E-1,-1.67713E+0,
3.72186E-3,-5.2362E-1,-1.83713E+0,
3.73187E-3,-3.6362E-1,-1.71713E+0,
3.74187E-3,-5.2362E-1,-1.83713E+0,
3.75188E-3,-3.6362E-1,-1.71713E+0,
3.76188E-3,-5.2362E-1,-1.87713E+0,
3.77189E-3,-3.6362E-1,-1.75713E+0,
3.78189E-3,-5.2362E-1,-1.87713E+0,
3.7919E-3,-3.6362E-1,-1.75713E+0,
3.8019E-3,-5.2362E-1,-1.91713E+0,
3.81191E-3,-2.8362E-1,-1.79713E+0,
3.82191E-3,-5.2362E-1,-1.91713E+0,
3.83192E-3,-3.6362E-1,-1.79713E+0,
3.84192E-3,-5.2362E-1,-1.95713E+0,
3.85193E-3,-3.6362E-1,-1.83713E+0,
3.86193E-3,-5.2362E-1,-1.95713E+0,
3.87194E-3,-2.8362E-1,-1.83713E+0,
3.88194E-3,-5.2362E-1,-1.99713E+0,
3.89195E-3,-2.8362E-1,-1.87713E+0,
3.90195E-3,-5.2362E-1,-1.99713E+0,
3.91196E-3,-2.8362E-1,-1.87713E+0,
3.92196E-3,-5.2362E-1,-2.03713E+0,
3.93197E-3,-2.8362E-1,-1.91713E+0,
3.94197E-3,-4.4362E-1,-2.03713E+0,
3.95198E-3,-2.8362E-1,-1.91713E+0,
3.96198E-3,-5.2362E-1,-2.03713E+0,
3.97199E-3,-2.8362E-1,-1.95713E+0,
3.98199E-3,-4.4362E-1,-2.07713E+0,
3.992E-3,-2.8362E-1,-1.95713E+0,
4.002E-3,-4.4362E-1,-2.07713E+0,
4.01201E-3,-2.8362E-1,-1.95713E+0,
4.02201E-3,-4.4362E-1,-2.11713E+0,
4.03202E-3,-2.8362E-1,-1.99713E+0,
4.04202E-3,-4.4362E-1,-2.11713E+0,
4.05203E-3,-2.0362E-1,-1.99713E+0,
4.06203E-3,-4.4362E-1,-2.11713E+0,
4.07204E-3,-2.0362E-1,-2.03713E+0,
4.08204E-3,-4.4362E-1,-2.15713E+0,
4.09205E-3,-2.0362E-1,-2.03713E+0,
4.10205E-3,-4.4362E-1,-2.19713E+0,
4.11206E-3,-2.0362E-1,-2.07713E+0,
4.12206E-3,-4.4362E-1,-2.19713E+0,
4.13207E-3,-2.0362E-1,-2.07713E+0,
4.14207E-3,-4.4362E-1,-2.23713E+0,
4.15208E-3,-2.0362E-1,-2.07713E+0,
4.16208E-3,-3.6362E-1,-2.23713E+0,
4.17209E-3,-2.0362E-1,-2.07713E+0,
4.18209E-3,-3.6362E-1,-2.23713E+0,
4.1921E-3,-2.0362E-1,-2.07713E+0,
4.2021E-3,-3.6362E-1,-2.23713E+0,
4.21211E-3,-2.0362E-1,-2.11713E+0,
4.22211E-3,-3.6362E-1,-2.27713E+0,
