Vernier Format 2
B.cmbl 26.09.2019 12:47:47 ,
Latest
Time	Winkel	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

119	3,784447531	0,235653	0,223443	109,020353869	11,3648502874
119,5	4,306606158	0,247863	0,218559	124,035805761	9,9890510841
120	4,567952697	0,241758	0,208791	131,547425747	9,41865637403
120,5	4,828764785	0,191697	0,196581	139,040956075	8,91104344343
121	5,350923412	0,197802	0,191697	154,034558586	8,04364949903
121,5	5,6117355	0,19536	0,190476	161,51897346	7,67092542416
122	6,133894127	0,169719	0,180708	176,492926901	7,0201113538
122,5	6,459909237	0,155067	0,184371	185,834714549	6,66721501957
123	6,982067864	0,133089	0,178266	200,784227507	6,17080343103
123,5	7,243414403	0,161172	0,184371	208,260450328	5,94928128719
124	7,765038579	0,123321	0,175824	223,169209176	5,55184115485
124,5	8,026385118	0,124542	0,18315	230,631985853	5,37219499462
125	8,613746767	0,125763	0,169719	247,386410442	5,00835918103
125,5	8,809355833	0,114774	0,181929	252,960452997	4,89799881888
126	9,396717482	0,102564	0,194139	269,679831269	4,59433690005
126,5	9,65752957	0,0927961	0,190476	277,094922701	4,47139192563
127	9,918876109	0,0781441	0,17094	284,51944956	4,35471108185
127,5	10,441034736	0,0879121	0,163614	299,335437585	4,13916912075
128	10,701846824	0,0854701	0,178266	306,726615937	4,0394277367
128,5	11,289208473	0,0561661	0,163614	323,348405517	3,83178014446
129	11,550020561	0,0842491	0,179487	330,718354802	3,74639018975
129,5	12,072179188	0,0500611	0,175824	345,452609078	3,58659905133
130	12,333525727	0,0549451	0,159951	352,816579395	3,51173973208
130,5	12,855149903	0,041514	0,157509	367,492302572	3,37149918876
131	13,116496442	0,0622711	0,147741	374,833823397	3,30546477575
131,5	13,638655069	0,0512821	0,142857	389,478343235	3,18117816182
132	13,899467157	0,029304	0,150183	396,781070664	3,12262880366
132,5	14,356422762	0,017094	0,151404	409,555895582	3,02522809064
133	14,747640894	0,031746	0,151404	420,472271059	2,94668658383
133,5	15,008987433	0,00732601	0,151404	427,753877168	2,89652546975
134	15,530611609	0,037851	0,159951	442,260549034	2,80151599031
134,5	15,791958148	0,00610501	0,14652	449,515039856	2,75630377217
135	16,379319797	0,017094	0,136752	465,78474161	2,6600270239
135,5	16,574928863	0,020757	0,148962	471,192259784	2,62949990003
136	17,162290512	0,045177	0,163614	487,396331882	2,54207904113
136,5	17,4231026	0,00610501	0,150183	494,57526802	2,50517985859
137	17,684449139	0,034188	0,162393	501,758635405	2,4693147513
137,5	18,206607766	0,019536	0,15873	516,079266241	2,40079398854
138	18,467419854	0,014652	0,147741	523,216275609	2,36804560133
138,5	18,989578481	0,023199	0,155067	537,472190987	2,30523554665
139	19,315593591	0,029304	0,153846	546,350457392	2,26777516745
139,5	19,772549196	0,010989	0,164835	558,764747794	2,21739113803
140	20,098564306	0,00732601	0,152625	567,600049177	2,18287507514
140,5	20,620722933	0,00610501	0,141636	581,712609024	2,12991773047
141	20,882069472	0,00976801	0,155067	588,758042314	2,10442985226
141,5	21,403693648	0,00610501	0,141636	602,783324122	2,055464958
142	21,665040187	0,00854701	0,144078	609,791621262	2,0318416272
142,5	22,187198814	0,00976801	0,150183	623,755741601	1,98635446116
143	22,448010902	0,017094	0,148962	630,711327287	1,96444862554
143,5	22,70882299	0,00854701	0,13431	637,653844044	1,94306050465
144	23,296184639	0,00732601	0,123321	653,240130073	1,89669915083
144,5	23,492328156	0,00732601	0,140415	658,429804295	1,88174956832
145	24,079689805	0,014652	0,123321	673,924152948	1,83848582156
145,5	24,340501893	0,00854701	0,148962	680,781654363	1,81996678679
146	24,86266052	0,010989	0,140415	694,468175515	1,78409903244
146,5	25,123472608	0,00732601	0,15873	701,282902885	1,76676202272
147	25,645631235	0,00976801	0,196581	714,8825126	1,733151921
147,5	25,971646345	0,019536	0,319902	723,343532536	1,71287907373
148	26,42860195	0,013431	0,468864	735,163352014	1,68533972294
148,5	26,689948489	0,00732601	0,620269	741,902487516	1,6700307936
149	27,276775687	0,019536	0,713065	756,978079872	1,63677130546
149,5	27,538122226	0,013431	0,748474	763,666610227	1,62243573754
150	27,798934314	0,00854701	0,752137	770,325622598	1,60841073392
150,5	28,321092941	0,00610501	0,758242	783,609187275	1,58114532106
151	28,581905029	0,00610501	0,749695	790,219868007	1,56791805694
151,5	29,104063656	0,00854701	0,757021	803,405432585	1,54218524016
152	29,430613217	0,00610501	0,746032	811,61762788	1,52658093841
152,5	29,952771844	0,00732601	0,758242	824,694183897	1,50237509151
153	30,213583932	0,00732601	0,777778	831,200187309	1,49061564099
153,5	30,409192998	0,00732601	0,759463	836,068394471	1,48193617675
154	30,996554647	0,00610501	0,776557	850,627527822	1,4565717185
154,5	31,257901186	0,00610501	0,798535	857,076967596	1,44561112577
155	31,844728384	0,00610501	0,807082	871,493355488	1,42169758633
155,5	32,040871901	0,00732601	0,838828	876,291637648	1,41391284222
156	32,62823355	0,00854701	0,875458	890,59869094	1,39119899075
156,5	32,889045638	0,00854701	0,898657	896,921677868	1,3813915201
157	33,411204265	0,00976801	0,954823	909,524627115	1,36225008434
157,5	33,672016353	0,00732601	0,993895	915,791428604	1,35292814641
158	34,19417498	0,00732601	1,0293	928,280718013	1,33472555872
158,5	34,454987068	0,010989	1,09646	934,490163795	1,32585665211
159	34,781536629	0,014652	1,17949	942,237380674	1,31495526012
159,5	35,238492234	0,00610501	1,21856	953,02697576	1,30006813187
160	35,564507344	0,00610501	1,2906	960,687803511	1,28970097827
160,5	36,086665971	0,010989	1,36142	972,892780686	1,27352163013
161	36,347478059	0,00488401	1,4359	978,958826821	1,26563034732
161,5	36,608824598	0,00732601	1,48962	985,016955953	1,25784636753
162	37,196186247	0,00732601	1,51404	998,557281953	1,24079011029
162,5	37,391795313	0,014652	1,5641	1003,04339384	1,23524067614
163	37,979156962	0,041514	1,60317	1016,44351963	1,2189560719
163,5	38,23996905	0,0622711	1,60928	1022,3595487	1,21190240906
164	38,762127677	0,105006	1,57631	1034,13994593	1,19809703211
164,5	39,022939765	0,173382	1,53236	1039,99201222	1,19135530412
165	39,545098392	0,288156	1,45299	1051,64325619	1,17815617863
165,5	39,806444931	0,363858	1,34066	1057,44210305	1,17169535469
166	40,39380658	0,470085	1,23687	1070,39421605	1,15751746546
166,5	40,589415646	0,593407	1,11477	1074,68275654	1,1528983716
167	40,980633778	0,604396	0,982906	1083,22220967	1,14380963476
167,5	41,372386361	0,714286	0,880342	1091,722723	1,13490355554
168	41,698935922	0,735043	0,785104	1098,76943127	1,12762510927
168,5	42,220560098	0,772894	0,714286	1109,9515764	1,11626491312
169	42,481906637	0,800977	0,648352	1115,51957076	1,11069319846
169,5	43,004065264	0,820513	0,586081	1126,57454835	1,09979406318
170	43,330080374	0,847375	0,521368	1133,42944879	1,09314258714
170,5	43,852239001	0,836386	0,454212	1144,33197986	1,08272775891
171	44,113051089	0,822955	0,405372	1149,7421305	1,07763294667
171,5	44,374397628	0,830281	0,369963	1155,13947043	1,07259775266
172	44,896021804	0,836386	0,316239	1165,84010855	1,06275293749
172,5	45,157368343	0,842491	0,266178	1171,16511171	1,05792085813
173	45,67952697	0,821734	0,211233	1181,73114152	1,04846183406
173,5	45,940339058	0,813187	0,188034	1186,97204878	1,04383249906
174	46,462497685	0,847375	0,167277	1197,39058281	1,03475007887
174,5	46,788512795	0,818071	0,161172	1203,84512732	1,02920215556
175	47,310671422	0,781441	0,147741	1214,10168817	1,02050760004
175,5	47,572017961	0,787546	0,145299	1219,19740576	1,01624231986
176	48,093642137	0,788767	0,145299	1229,29205433	1,0078971841
176,5	48,354988676	0,746032	0,131868	1234,31146112	1,00379850551
177	48,615800764	0,744811	0,141636	1239,29500105	0,999761960595
177,5	49,137959391	0,73138	0,133089	1249,19502028	0,991838728051
178	49,398771479	0,727717	0,131868	1254,10116133	0,987958577986
178,5	49,920930106	0,711844	0,123321	1263,84530387	0,98034149924
179	50,247479667	0,753358	0,133089	1269,88583541	0,975678258195
179,5	50,769103843	0,717949	0,13431	1279,44921542	0,968385446698
180	51,030450382	0,716728	0,131868	1284,20087761	0,964802330849
180,5	51,29126247	0,69475	0,123321	1288,91618566	0,961272745103
181	51,813421097	0,663004	0,1221	1298,27610723	0,95434244927
181,5	52,074233185	0,661783	0,10989	1302,91094649	0,950947571155
182	52,596391812	0,654457	0,111111	1312,10889583	0,944281380862
182,5	52,857738351	0,671551	0,125763	1316,67170378	0,941009058252
183	53,379362527	0,672772	0,133089	1325,69666029	0,934602942824
183,5	53,705912088	0,67033	0,117216	1331,29062787	0,930675822442
184	54,228070715	0,669109	0,139194	1340,14554975	0,924526444332
184,5	54,423679781	0,649573	0,136752	1343,43412782	0,92226330591
185	55,01104143	0,623932	0,131868	1353,2145939	0,915597574537
185,5	55,271853518	0,592186	0,137973	1357,51197973	0,912699127892
186	55,663606101	0,562882	0,131868	1363,91397968	0,90841506023
