Vernier Format 2
Bandlücke-Ge1.cmbl 26.09.2019 16:22:46 ,
Latest
Time	Potential	Pyro	Sample	Wellenlänge	Energie
t	Pot	Pot	Pot	Lambda	E
s	°	V	V	nm	eV

65	-29,495816239	1,81685	0,045177	-1627,48475509	-0,761297453708
65,5	-29,235004151	1,88889	0,035409	-1614,37147759	-0,767481349368
66	-28,973657612	1,97802	0,010989	-1601,19777461	-0,77379572945
66,5	-28,451498985	2,0757	0,040293	-1574,77780945	-0,786777660039
67	-28,190686897	2,17705	0,029304	-1561,53223082	-0,793451441823
67,5	-27,929874809	2,28938	0,013431	-1548,25429578	-0,800256135813
68	-27,407716182	2,36996	0,03663	-1521,57508539	-0,814287781061
68,5	-27,146369643	2,45421	0,025641	-1508,17423351	-0,821523118796
69	-26,885557555	2,52991	0,00976801	-1494,76950324	-0,828890338822
69,5	-26,363398928	2,65079	0,02442	-1467,83977562	-0,844097578347
70	-26,037383818	2,72894	0,040293	-1450,96396159	-0,853915074944
70,5	-25,841240301	2,77045	0,020757	-1440,78813913	-0,85994600202
71	-25,319616125	2,86447	0,020757	-1413,64471186	-0,876457846592
71,5	-24,993066564	3,00855	0,014652	-1396,5924815	-0,887159294074
72	-24,732254476	3,27228	0,03663	-1382,94041179	-0,895917126607
72,5	-24,210095849	3,54823	0,03663	-1355,52246702	-0,914038704738
73	-23,949283761	3,69109	0,010989	-1341,78522359	-0,923396664543
73,5	-23,6227342	3,49939	0,02442	-1324,54635519	-0,935414600737
74	-23,165778595	2,8083	0,015873	-1300,35112234	-0,952819572127
74,5	-22,904966507	1,98413	0,03663	-1286,50427049	-0,963074922033
75	-22,317604858	1,49206	0,021978	-1255,2233015	-0,987075366206
75,5	-22,121995792	1,49573	0,046398	-1244,77635656	-0,995359522596
76	-21,795446231	1,61172	0,043956	-1227,30397156	-1,00952985463
76,5	-21,599837165	1,70696	0,02442	-1216,81856931	-1,01822903697
77	-21,012475516	1,74725	0,00732601	-1185,24897334	-1,04534998795
77,5	-20,751663428	1,81197	0,019536	-1171,19067717	-1,0578977652
78	-20,490316889	1,80586	0,03663	-1157,07923041	-1,0707996198
78,5	-19,968158262	1,77778	0,046398	-1128,81338829	-1,09761277892
79	-19,707346174	1,63736	0,040293	-1114,65967698	-1,11155003234
79,5	-19,446534086	1,33822	0,026862	-1100,48286889	-1,12586941153
80	-18,859172437	1,00122	0,037851	-1068,47294739	-1,15959884901
80,5	-18,66302892	0,601954	0,023199	-1057,75838004	-1,17134500977
81	-18,141404744	0,302808	0,013431	-1029,20407343	-1,20384288401
81,5	-17,880058205	0,136752	0,03663	-1014,86543898	-1,22085150643
82	-17,554043095	0,0793651	0,0512821	-996,949234489	-1,24279146534
82,5	-17,09708749	0,108669	0,04884	-971,782981229	-1,27497602236
83	-16,77107238	0,0659341	0,015873	-953,790235738	-1,29902776688
83,5	-16,509725841	0,041514	0,018315	-939,344215505	-1,3190053013
84	-15,922364192	0,047619	0,031746	-906,806733934	-1,36633303838
84,5	-15,726755126	0,043956	0,046398	-895,949453612	-1,38289051353
85	-15,400205565	0,0683761	0,046398	-877,801116662	-1,41148145802
